ID,medv
3,38.182
6,25.03
8,15.976
9,14.265
10,17.111
18,18.851
20,19.571
25,15.138
26,15.62
27,17.636
29,18.021
30,20.954
33,15.855
34,15.224
36,22.01
37,21.492
38,22.051
42,30.089
49,15.062
53,24.806
60,21.366
63,23.995
70,21.543
72,21.601
79,21.09
80,21.565
83,23.851
92,22.799
93,22.633
96,27.768
98,44.0
99,45.678
100,31.476
105,19.739
106,16.936
111,20.945
113,17.399
114,16.596
116,19.155
126,20.476
130,16.11
131,18.708
133,19.285
136,16.964
141,15.541
144,13.902
145,14.43
147,15.557
152,20.026
153,20.86
156,18.054
158,31.431
163,48.916
169,21.076
185,23.622
186,25.541
189,30.25
196,47.738
197,37.537
199,32.714
200,33.611
203,43.616
208,18.744
210,15.346
211,17.994
213,20.882
216,23.834
218,23.77
219,17.896
220,22.547
221,28.334
229,42.393
232,33.295
238,32.672
239,24.05
240,27.36
242,21.881
246,18.872
248,21.527
253,36.579
255,22.75
256,20.822
257,42.04
258,41.644
259,34.775
260,30.7
268,40.562
270,21.853
271,20.987
276,33.701
277,33.292
278,33.081
279,24.317
281,45.861
288,23.338
290,24.917
292,37.928
295,21.646
296,26.919
299,24.943
300,34.709
301,29.345
308,29.376
314,22.172
315,23.686
320,21.129
322,23.898
323,23.177
324,20.429
327,24.417
330,23.529
332,19.61
333,19.667
336,20.647
338,20.228
346,20.786
347,19.905
351,23.243
352,27.487
354,30.618
355,20.237
356,23.227
362,20.801
364,20.435
365,38.581
370,32.3
376,25.869
379,12.742
380,12.602
381,20.657
382,12.043
386,9.317
389,8.773
391,16.375
394,18.409
396,15.425
398,14.529
400,11.214
403,11.06
405,8.761
406,9.281
407,12.081
410,15.676
411,20.689
412,12.559
413,11.579
417,10.576
421,19.317
422,18.012
423,21.135
424,13.618
427,16.056
431,15.913
436,11.295
437,13.727
439,9.065
447,15.266
450,15.334
451,15.355
455,14.653
457,15.783
471,17.072
474,25.197
476,14.018
483,29.287
486,21.524
490,11.193
495,21.222
496,17.768
497,16.14
499,21.191
501,19.787
505,25.319
