ID,medv
3,38.744
6,25.104
8,16.362
9,14.018
10,17.796
18,19.124
20,20.302
25,15.364
26,16.62
27,17.406
29,18.58
30,22.226
33,16.76
34,14.5
36,22.03
37,21.458
38,22.086
42,29.404
49,15.086
53,24.824
60,20.88
63,23.75
70,21.016
72,21.576
79,21.422
80,21.57
83,23.628
92,22.538
93,23.066
96,27.82
98,45.636
99,46.906
100,30.664
105,20.062
106,16.784
111,21.096
113,18.398
114,16.592
116,18.304
126,20.254
130,15.934
131,19.986
133,19.15
136,16.798
141,15.236
144,13.904
145,14.766
147,15.974
152,20.492
153,21.408
156,18.72
158,30.406
163,47.814
169,19.636
185,23.244
186,24.986
189,29.386
196,46.806
197,36.79
199,32.42
200,33.908
203,41.228
208,19.514
210,15.35
211,18.428
213,20.198
216,23.874
218,22.608
219,18.024
220,21.078
221,29.078
229,41.974
232,32.372
238,32.538
239,23.826
240,26.194
242,21.662
246,19.104
248,21.804
253,36.408
255,22.4
256,20.976
257,41.322
258,42.638
259,34.878
260,32.69
268,42.212
270,21.594
271,20.736
276,32.772
277,33.48
278,33.344
279,24.33
281,48.388
288,23.004
290,24.928
292,37.594
295,22.54
296,26.12
299,24.428
300,33.798
301,30.232
308,30.164
314,21.326
315,22.972
320,21.024
322,24.16
323,22.934
324,20.46
327,24.344
330,23.146
332,20.352
333,21.14
336,20.116
338,19.892
346,21.13
347,19.68
351,24.16
352,27.592
354,30.294
355,20.26
356,22.57
362,20.132
364,19.79
365,40.012
370,30.054
376,27.01
379,11.286
380,11.76
381,23.174
382,11.338
386,9.038
389,8.742
391,15.192
394,16.424
396,15.646
398,14.812
400,12.824
403,13.042
405,9.362
406,9.098
407,15.168
410,18.976
411,19.106
412,13.116
413,12.234
417,11.944
421,16.326
422,16.154
423,19.482
424,15.358
427,16.564
431,15.866
436,11.712
437,12.272
439,9.44
447,15.424
450,15.436
451,15.692
455,13.78
457,15.566
471,17.662
474,25.664
476,14.684
483,28.76
486,21.62
490,12.25
495,21.274
496,19.268
497,17.842
499,21.308
501,20.364
505,25.982
