ID,medv
3,38.138
6,25.17
8,16.858
9,14.29
10,17.366
18,19.058
20,20.222
25,15.578
26,16.634
27,17.998
29,18.058
30,21.314
33,16.018
34,15.342
36,22.538
37,22.174
38,21.93
42,29.772
49,15.044
53,25.048
60,21.74
63,24.316
70,21.578
72,22.036
79,21.36
80,21.224
83,23.758
92,23.028
93,22.878
96,28.424
98,44.152
99,46.536
100,30.5
105,19.748
106,17.504
111,21.534
113,17.984
114,17.138
116,19.19
126,20.25
130,16.25
131,19.478
133,19.444
136,16.634
141,15.512
144,14.16
145,13.942
147,16.22
152,22.35
153,21.664
156,16.826
158,30.096
163,48.624
169,22.13
185,23.864
186,26.166
189,30.394
196,46.63
197,35.764
199,30.754
200,33.692
203,42.11
208,19.492
210,15.778
211,18.232
213,20.266
216,23.508
218,23.222
219,18.132
220,21.824
221,28.492
229,42.288
232,33.304
238,33.282
239,24.086
240,26.526
242,21.674
246,18.558
248,20.508
253,35.252
255,23.042
256,20.514
257,42.576
258,42.2
259,33.62
260,29.76
268,40.382
270,20.93
271,20.392
276,34.826
277,33.398
278,33.108
279,25.018
281,46.054
288,23.106
290,24.696
292,37.374
295,21.976
296,28.124
299,24.932
300,32.446
301,28.61
308,29.872
314,21.154
315,23.108
320,21.298
322,23.94
323,22.95
324,20.62
327,24.376
330,24.108
332,19.73
333,20.856
336,19.454
338,20.122
346,20.628
347,20.226
351,23.424
352,28.016
354,31.306
355,19.522
356,22.494
362,20.946
364,19.118
365,40.556
370,32.052
376,27.754
379,11.822
380,11.852
381,22.584
382,11.582
386,9.394
389,8.932
391,15.254
394,16.116
396,14.904
398,14.3
400,11.33
403,12.516
405,9.114
406,9.732
407,14.142
410,16.358
411,23.326
412,13.406
413,12.19
417,11.25
421,17.558
422,16.546
423,21.252
424,14.484
427,16.286
431,16.486
436,12.21
437,12.486
439,9.442
447,15.642
450,15.334
451,15.332
455,14.802
457,16.164
471,17.986
474,26.618
476,14.776
483,31.2
486,21.26
490,12.312
495,21.44
496,19.434
497,17.148
499,21.3
501,19.956
505,24.484
