ID,medv
3,36.870758
6,26.032415
8,15.575256
9,12.589397
10,17.178036
18,17.803213
20,21.099245
25,14.940475
26,14.257303
27,17.372326
29,17.63028
30,20.155651
33,13.138132
34,15.863454
36,23.253464
37,22.577066
38,24.04204
42,28.756796
49,12.224305
53,25.12382
60,21.506865
63,21.942902
70,21.98468
72,21.144829
79,20.593641
80,22.876955
83,23.14123
92,22.17283
93,24.315224
96,25.771597
98,42.68353
99,44.201065
100,31.3743
105,20.91789
106,17.420547
111,21.473322
113,17.263214
114,15.541217
116,19.268795
126,22.229595
130,17.095114
131,19.378347
133,19.203619
136,16.416233
141,14.865157
144,13.316251
145,15.308607
147,17.505
152,20.038568
153,24.661247
156,18.579287
158,33.05793
163,49.571003
169,22.194807
185,24.902004
186,26.414541
189,28.125298
196,47.723755
197,38.781765
199,32.357105
200,33.046787
203,45.646652
208,19.32466
210,16.203817
211,20.317598
213,23.921093
216,24.429893
218,22.999208
219,18.409208
220,22.536097
221,29.201492
229,44.655506
232,34.78519
238,34.760983
239,24.047972
240,25.739597
242,20.1909
246,16.575424
248,19.907475
253,36.45199
255,22.288628
256,21.572802
257,42.328358
258,43.998035
259,34.88338
260,31.444727
268,40.56911
270,23.62435
271,22.133295
276,32.454144
277,32.681965
278,33.81268
279,24.81324
281,47.29143
288,23.585556
290,25.441687
292,37.801563
295,20.916515
296,25.619232
299,26.506031
300,35.33285
301,28.96566
308,30.32655
314,22.432571
315,24.782188
320,20.1196
322,24.013983
323,24.002905
324,20.71165
327,24.507492
330,22.854557
332,18.758333
333,21.549152
336,20.413006
338,18.396416
346,19.966532
347,19.346512
351,22.233074
352,22.133139
354,30.64734
355,17.262877
356,19.85476
362,20.209782
364,21.581953
365,39.40595
370,35.456585
376,20.283371
379,8.084009
380,9.922652
381,17.157162
382,10.580579
386,7.8289204
389,9.349065
391,16.240189
394,18.197699
396,14.860265
398,15.382471
400,12.22846
403,12.075169
405,9.821504
406,9.374298
407,17.377174
410,19.163982
411,21.985716
412,13.909796
413,9.939421
417,12.699515
421,16.279915
422,17.647058
423,20.512203
424,13.473671
427,18.602118
431,14.970914
436,11.846537
437,13.663554
439,8.352523
447,16.029518
450,14.287793
451,16.232561
455,14.2965
457,15.066727
471,17.020254
474,25.816673
476,13.152506
483,30.059275
486,21.400297
490,10.528677
495,21.762096
496,18.795565
497,15.411965
499,21.461803
501,20.372719
505,24.254955
